Date,Description,Category,Cost,Currency,Gus,Joules
,,,,,,
9/11/24,Menorca hotel,Hotel,200,EUR,-200,200
9/11/24,Computer,General,15,EUR,-15,15
9/13/24,Spesa Minorca,Groceries,66.7,EUR,-33.35,33.35
9/13/24,Orio bus,Bus/train,24,EUR,-12,12
9/13/24,Preservativi Minorca,General,14.5,EUR,7.25,-7.25
9/13/24,Gelati,General,7.6,EUR,3.8,-3.8
9/14/24,Lunch spiaggia,Dining out,58.8,EUR,29.4,-29.4
9/17/24,Lettini mare,General,20,EUR,10,-10
9/17/24,Fideuà Joules ,General,58,EUR,-29,29
9/17/24,Crepe,Dining out,8,EUR,4,-4
9/17/24,El pulpo,General,39,EUR,-19.5,19.5
9/17/24,Thai,Dining out,36.6,EUR,-18.3,18.3
9/19/24,Cinese,General,66,EUR,33,-33
9/19/24,Gelato,Dining out,5,EUR,2.5,-2.5
9/19/24,Snacks,Groceries,9,EUR,4.5,-4.5
9/20/24,Burguer king 1,Dining out,9.11,EUR,4.56,-4.56
9/20/24,Colombiano+mercato,General,35,EUR,-17.5,17.5
9/20/24,Birra,Liquor,5.6,EUR,-5.6,5.6
9/20/24,Vabbè Joules Burguer King,Dining out,26.12,EUR,13.06,-13.06
9/21/24,Taxi,Taxi,13.5,EUR,6.75,-6.75
9/21/24,Bus per milano,Bus/train,24,EUR,12,-12
9/21/24,Gelato Gus,Dining out,29,EUR,-14.5,14.5
9/21/24,Groundhog,General,4,EUR,2,-2
9/22/24,Spesa esselunga online,Groceries,123.31,EUR,61.66,-61.66
9/27/24,Pizza,Dining out,65,EUR,-65,65
9/28/24,Gus M. paid Giulia S.,Payment,230,EUR,230,-230
9/29/24,Kebab Joules cucina pulita,Dining out,18,EUR,9,-9
9/30/24,Pams cibo,General,16.65,EUR,8.32,-8.32
9/30/24,Cinema Gus,Movies,19,EUR,-9.5,9.5
10/1/24,Laurea Anna,General,20,EUR,-20,20
10/4/24,Gelato Gus,Dining out,29,EUR,-14.5,14.5
10/7/24,Spese Pam,General,45,EUR,-22.5,22.5
10/7/24,Spesa,Groceries,123,EUR,61.5,-61.5
10/7/24,Bonfico,General,300,EUR,-300,300
10/11/24,Gelato,Dining out,30,EUR,-15,15
10/12/24,Carrefour,Groceries,31.23,EUR,15.61,-15.61
10/12/24,Carne,General,18,EUR,-9,9
10/18/24,Carrefour,Groceries,27.75,EUR,13.87,-13.87
10/19/24,Gelato ,Dining out,29,EUR,-14.5,14.5
10/31/24,Pizza Gus,Dining out,8,EUR,-8,8
10/31/24,Spesa,Groceries,145,EUR,-72.5,72.5
11/2/24,Bonifico Milos,General,83.68,EUR,-83.68,83.68
11/4/24,Ramen,General,50,EUR,25,-25
11/4/24,Abbonamento ,General,45,EUR,45,-45
11/6/24,Preservativi + anello,General,62.05,EUR,31.02,-31.02
11/16/24,Hamburgers,General,43,EUR,21.5,-21.5
11/16/24,Taxi,Taxi,23.7,EUR,11.85,-11.85
11/17/24,Cinema,Movies,23,EUR,-11.5,11.5
11/18/24,Esse xpress,General,47.84,EUR,23.92,-23.92
11/20/24,Caramelle gola,General,12,EUR,-6,6
11/20/24,Spesa+minimarket,Groceries,20,EUR,-10,10
11/23/24,Ramen,General,43.5,EUR,21.75,-21.75
11/23/24,Kebab Joules,Dining out,15.5,EUR,-7.75,7.75
11/24/24,Gus M. paid Giulia S.,Payment,320,EUR,320,-320
11/24/24,Pasta al forno et. al. ,Groceries,9.2,EUR,4.6,-4.6
11/26/24,Pollo + frutte,Groceries,25.62,EUR,12.81,-12.81
12/1/24,Cinese + milktea,General,31.5,EUR,15.75,-15.75
12/1/24,Cena hummus,Dining out,27.71,EUR,13.86,-13.86
12/1/24,Spesa chili,Groceries,25,EUR,-12.5,12.5
12/4/24,Spesa Amazon,Groceries,65,EUR,-32.5,32.5
12/4/24,Cheesecake,General,28,EUR,-14,14
12/8/24,Esse cibo,General,90,EUR,45,-45
12/8/24,Burgers,Dining out,29,EUR,14.5,-14.5
12/10/24,Roppongi,General,62,EUR,-31,31
12/15/24,Spesa Carrefour Gus,Groceries,16,EUR,-8,8
12/15/24,Spesa Carrefour Joules,Groceries,45,EUR,-22.5,22.5
12/15/24,Risparmiatori Gus & Joules (metal straw),General,13.66,EUR,6.83,-6.83
12/15/24,Tapioca,General,20,EUR,10,-10
12/21/24,Spesa+spesa+ramen,Groceries,98,EUR,-49,49
1/7/25,Sushi ,Dining out,25.9,EUR,-25.9,25.9
